molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,Canonical_Smiles,MW,LogP,HBD,HBA,pIC50
CHEMBL120169,Ki,nM,2500.0,Ki,uM,2.5,C[Si](C)(C)CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,249.383,-1.3769999999999993,4,5,5.6020599913279625
CHEMBL415713,Ki,nM,120.0,Ki,uM,0.12,C[Si](C)(C)CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,291.46400000000006,-0.1359999999999999,4,5,6.920818753952375
CHEMBL44,IC50,nM,10400.0,IC50,uM,10.4,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,270.24,2.576800000000001,3,5,4.982966660701219
CHEMBL44,IC50,nM,2610.0,IC50,uM,2.61,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,270.24,2.576800000000001,3,5,5.583359492661719
CHEMBL44,Ki,nM,10400.0,Ki,mM,0.0104,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,270.24,2.576800000000001,3,5,4.982966660701219
CHEMBL422734,IC50,nM,17000.0,IC50,M,0.000017,CCCCCCCCNC1C=C(CO)C(O)C(O)C1O,287.40000000000003,0.32009999999999966,5,5,4.769551078621726
CHEMBL1230806,IC50,nM,100000.0,IC50,M,0.0001,N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,175.184,-2.6713,5,5,4.0
CHEMBL367666,IC50,nM,100000.0,IC50,M,0.0001,CCCCNC1C=C(CO)C(O)C(O)C1O,231.292,-1.2403,5,5,4.0
CHEMBL426933,IC50,nM,100000.0,IC50,M,0.0001,CCCCCCCCCCCCCCCCCCNC1C=C(CO)C(O)C(O)C1O,427.66999999999996,4.221100000000006,5,5,4.0
CHEMBL174067,IC50,nM,100000.0,IC50,M,0.0001,OC1C(O)C(O)C2OC2C1O,162.141,-2.789,4,5,4.0
CHEMBL1744444,IC50,nM,100000.0,IC50,M,0.0001,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12.C[C@]12CC[C@H]3[C@@H](CCC4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,580.8940000000005,7.9182000000000095,2,4,4.0
CHEMBL354193,IC50,nM,50000.0,IC50,M,0.00005,CCCCCCNC1C=C(CO)C(O)C(O)C1O,259.346,-0.46010000000000034,5,5,4.301029995663981
CHEMBL2374254,IC50,nM,5.8,IC50,M,5.8E-9,OC[C@@]1(O)C[C@H](NC[C@H](O)c2ccccc2)[C@H](O)[C@H](O)[C@H]1O,313.3500000000001,-2.111999999999999,7,7,8.236572006437063
CHEMBL2051980,IC50,nM,3200.0,IC50,M,0.0000032,CO[C@H]1O[C@H](C)[C@@H](N[C@H]2C=C(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,335.353,-3.5587999999999975,7,9,5.494850021680094
CHEMBL2051761,IC50,nM,28.0,IC50,M,2.8E-8,C[C@H]1C[C@H](N)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,336.385,-4.388099999999994,9,9,7.552841968657781
