Feature,Importance
MF_482,0.07100870653812075
MF_888,0.05132942303845829
MF_130,0.051039704008484246
MF_490,0.04992505249971828
MF_378,0.025677064671289617
MF_356,0.02473237120518989
MF_830,0.024505458780813307
MF_350,0.024296904797109758
MF_874,0.02180643625735682
MF_512,0.02081149854205096
