canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
C[C@H](OCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO)c1ccc(-c2ccccc2)cc1,CHEMBL3354628,IC50,nM,100000.0,IC50,uM,100.0
C[C@@H](OCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO)c1ccc(-c2ccccc2)cc1,CHEMBL3354629,IC50,nM,100000.0,IC50,uM,100.0
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccccc1-c1ccccc1,CHEMBL3354630,IC50,nM,100000.0,IC50,uM,100.0
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1cccc(-c2ccccc2)c1,CHEMBL3354631,IC50,nM,100000.0,IC50,uM,100.0
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CC(F)(F)CCCOCc1ccc(-c2ccccc2)cc1,CHEMBL3354632,IC50,nM,100000.0,IC50,uM,100.0
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCC(F)(F)COCc1ccc(-c2ccccc2)cc1,CHEMBL3354633,IC50,nM,100000.0,IC50,uM,100.0
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccc(-c2ccccc2)cc1C(F)(F)F,CHEMBL3354634,IC50,nM,100000.0,IC50,uM,100.0
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccc(-c2ccccc2)c(C(F)(F)F)c1,CHEMBL3354635,IC50,nM,100000.0,IC50,uM,100.0
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccc(-c2ccccc2)cc1F,CHEMBL3354636,IC50,nM,100000.0,IC50,uM,100.0
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccc(-c2ccccc2)c(F)c1,CHEMBL3354637,IC50,nM,100000.0,IC50,uM,100.0
COc1ccc(O)c(/C=N/NC(=O)c2ccc(-c3nc4ccccc4s3)cc2)c1,CHEMBL3407617,IC50,nM,6500.0,IC50,uM,6.5
O=C(N/N=C\c1ccccn1)c1ccc(-c2nc3ccccc3s2)cc1,CHEMBL3407618,IC50,nM,10230.0,IC50,uM,10.23
O=C(N/N=C/c1ccc(O)cc1)c1ccc(-c2nc3ccccc3s2)cc1,CHEMBL3407620,IC50,nM,11290.0,IC50,uM,11.29
O=C(N/N=C/c1cccs1)c1ccc(-c2nc3ccccc3s2)cc1,CHEMBL3407621,IC50,nM,8480.0,IC50,uM,8.48
O=C(N/N=C/c1cccc(O)c1O)c1ccc(-c2nc3ccccc3s2)cc1,CHEMBL3407622,IC50,nM,11220.0,IC50,uM,11.22
COc1ccc(/C=N/NC(=O)c2ccc(-c3nc4ccccc4s3)cc2)c(O)c1,CHEMBL3407623,IC50,nM,6970.0,IC50,uM,6.97
O=C(N/N=C/c1ccccc1O)c1ccc(-c2nc3ccccc3s2)cc1,CHEMBL3407624,IC50,nM,5550.0,IC50,uM,5.55
O=C(N/N=C\c1ccco1)c1ccc(-c2nc3ccccc3s2)cc1,CHEMBL3407625,IC50,nM,12750.0,IC50,uM,12.75
O=C(N/N=C/c1ccc(O)c(O)c1)c1ccc(-c2nc3ccccc3s2)cc1,CHEMBL3407626,IC50,nM,15090.0,IC50,uM,15.09
O=C(N/N=C/c1ccc(O)cc1O)c1ccc(-c2nc3ccccc3s2)cc1,CHEMBL3407627,IC50,nM,5580.0,IC50,uM,5.58
O=C(N/N=C/c1ccc([N+](=O)[O-])cc1)c1ccc(-c2nc3ccccc3s2)cc1,CHEMBL3407630,IC50,nM,26380.0,IC50,uM,26.38
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL404271,IC50,nM,906000.0,IC50,uM,906.0
O=C(N/N=C/c1ccc(F)cc1)c1ccc(-c2nc3ccccc3s2)cc1,CHEMBL3407632,IC50,nM,7120.0,IC50,uM,7.12
COc1cc(/C=N/NC(=O)c2ccc(-c3nc4ccccc4s3)cc2)cc(OC)c1,CHEMBL3407633,IC50,nM,16170.0,IC50,uM,16.17
O=C(N/N=C/c1ccccc1)c1ccc(-c2nc3ccccc3s2)cc1,CHEMBL3407634,IC50,nM,8050.0,IC50,uM,8.05
O=C(N/N=C/c1ccc(F)c(Br)c1)c1ccc(-c2nc3ccccc3s2)cc1,CHEMBL3407635,IC50,nM,28020.0,IC50,uM,28.02
COc1ccc(/C=N/NC(=O)c2ccc(-c3nc4ccccc4s3)cc2)cc1,CHEMBL3407636,IC50,nM,18330.0,IC50,uM,18.33
O=C(N/N=C/c1c(O)cc(O)cc1O)c1ccc(-c2nc3ccccc3s2)cc1,CHEMBL3407637,IC50,nM,8370.0,IC50,uM,8.37
O=C(N/N=C/c1ccc(O)c(Br)c1)c1ccc(-c2nc3ccccc3s2)cc1,CHEMBL3407638,IC50,nM,8070.0,IC50,uM,8.07
O=C(N/N=C/c1ccc(Cl)cc1)c1ccc(-c2nc3ccccc3s2)cc1,CHEMBL3407639,IC50,nM,5310.0,IC50,uM,5.31
COc1cccc(/C=N/NC(=O)c2ccc(-c3nc4ccccc4s3)cc2)c1,CHEMBL3407640,IC50,nM,11090.0,IC50,uM,11.09
O=C(N/N=C/c1cccc(O)c1)c1ccc(-c2nc3ccccc3s2)cc1,CHEMBL3407641,IC50,nM,9210.0,IC50,uM,9.21
COc1cc(/C=N/NC(=O)c2ccc(-c3nc4ccccc4s3)cc2)ccc1O,CHEMBL3407643,IC50,nM,53340.0,IC50,uM,53.34
COc1ccc(/C=N/NC(=O)c2ccc(-c3nc4ccccc4s3)cc2)c(I)c1O,CHEMBL3407644,IC50,nM,44800.0,IC50,uM,44.8
O=C(N/N=C/c1cc(O)ccc1O)c1ccc(-c2nc3ccccc3s2)cc1,CHEMBL3407645,IC50,nM,11850.0,IC50,uM,11.85
O=C(N/N=C/c1cc(O)cc(O)c1)c1ccc(-c2nc3ccccc3s2)cc1,CHEMBL3407646,IC50,nM,11120.0,IC50,uM,11.12
CO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],CHEMBL3814747,IC50,nM,2000.0,IC50,uM,2.0
CCO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],CHEMBL3814838,IC50,nM,960.0,IC50,uM,0.96
CCCCCO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],CHEMBL3814555,IC50,nM,1500.0,IC50,uM,1.5
CCCCCCCO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],CHEMBL3814911,IC50,nM,640.0,IC50,uM,0.64
CCCCCCCCCCCCCO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],CHEMBL3814264,IC50,nM,1100.0,IC50,uM,1.1
CC(C)CO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],CHEMBL3814988,IC50,nM,690.0,IC50,uM,0.69
CC(C)(C)CO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],CHEMBL3815109,IC50,nM,470.0,IC50,uM,0.47
O=[N+]([O-])c1ccccc1CO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],CHEMBL3814496,IC50,nM,150.0,IC50,uM,0.15
O=S(=O)([O-])O[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL239249,IC50,nM,4900.0,IC50,uM,4.9
OC[C@@H]1[C@@H](O)[C@H](O)C[S+]1C[C@@H](O)[C@@H](O)CO,CHEMBL1182462,IC50,nM,9000.0,IC50,uM,9.0
OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL476960,IC50,nM,1300.0,IC50,uM,1.3
C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@H]2CO)[C@@H](O)[C@H](O)[C@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL4299399,IC50,nM,15200.0,IC50,uM,15.2
OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1561,IC50,nM,3700.0,IC50,uM,3.7
O=S(=O)([O-])O[C@@H](CO)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1208974,Ki,nM,190.0,Ki,uM,0.19
CCCC[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],CHEMBL4754034,Ki,nM,32000.0,Ki,uM,32.0
CCCCCCCCCCCCCC[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],CHEMBL4749306,Ki,nM,6000.0,Ki,uM,6.0
CCCCCCCC[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],CHEMBL4750690,Ki,nM,51000.0,Ki,uM,51.0
O=S(=O)([O-])O[C@@H](CO)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1208974,IC50,nM,4900.0,IC50,uM,4.9
[O-][C@@H](CO)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1684162,IC50,nM,9000.0,IC50,uM,9.0
OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL476960,IC50,nM,1300.0,IC50,uM,1.3
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL404271,IC50,nM,15200.0,IC50,uM,15.2
OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1561,IC50,nM,3700.0,IC50,uM,3.7
CCC[C@@H](O)[C@H](OS(=O)(=O)[O-])[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL4757019,IC50,nM,4800.0,IC50,uM,4.8
CCCCCC[C@@H](O)[C@H](OS(=O)(=O)[O-])[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL4744484,IC50,nM,1700.0,IC50,uM,1.7
CCCCCCCC[C@@H](O)[C@H](OS(=O)(=O)[O-])[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL4786471,IC50,nM,1200.0,IC50,uM,1.2
CCCCCCCCCC[C@@H](O)[C@H](OS(=O)(=O)[O-])[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL4779172,IC50,nM,1500.0,IC50,uM,1.5
CCCCCCCC[C@@H](O)[C@H](O)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO.CS(=O)(=O)[O-],CHEMBL4757822,IC50,nM,2000.0,IC50,uM,2.0
CCC[C@@H](O)[C@H](O)[C@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@H]1CO.CS(=O)(=O)[O-],CHEMBL4757984,IC50,nM,5000.0,IC50,uM,5.0
C/C=C/Cc1cc(-c2oc3c(C(C)(C)CC)c(O)cc(O)c3c(=O)c2O)cc(O)c1O,CHEMBL4760193,Ki,nM,4200.0,Ki,uM,4.2
CC(C)=CCc1cc(-c2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2O)cc(O)c1O,CHEMBL457303,Ki,nM,2300.0,Ki,uM,2.3
CC(C)=CCc1cc(C(=O)/C=C/c2ccc(O)c(O)c2)c(O)cc1O,CHEMBL115452,Ki,nM,5300.0,Ki,uM,5.3
COc1ccc([C@@H]2N[C@@H](CO)[C@H](O)[C@H]2O)cc1O,CHEMBL454551,IC50,nM,6700.0,IC50,uM,6.7
OC[C@@H]1N[C@@H](c2ccc(O)cc2)[C@H](O)[C@H]1O,CHEMBL4783560,IC50,nM,9300.0,IC50,uM,9.3
OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL307429,IC50,nM,1400.0,IC50,uM,1.4
C[C@]1(CO)NC[C@H](O)[C@@H](O)[C@@H]1O.Cl,CHEMBL4856375,IC50,nM,1000.0,IC50,uM,1.0
OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL307429,IC50,nM,8030.0,IC50,uM,8.03
COc1ccc(-c2oc3cc(OC)cc(OC)c3c(=O)c2OCCCCCN2C[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO)cc1,CHEMBL5083981,IC50,nM,40560.0,IC50,uM,40.56
COc1ccc(-c2oc3cc(OC)cc(OC)c3c(=O)c2OCCCCCCCCN2C[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO)cc1,CHEMBL5076041,IC50,nM,1780.0,IC50,uM,1.78
COc1ccc(-c2oc3cc(OC)cc(OC)c3c(=O)c2OCCCCCCCCCCCN2C[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO)cc1,CHEMBL5082173,IC50,nM,240.0,IC50,uM,0.24
C=C1C(=O)O[C@@H]2/C=C(\C)[C@@H](O)C/C=C(\C)C[C@@H](OC(=O)/C(=C\C)COC(C)=O)[C@@H]12,CHEMBL5084733,IC50,nM,25000.0,IC50,uM,25.0
C=C1C(=O)O[C@@H]2/C=C(\C)CC/C=C(\C)C[C@@H](OC(=O)/C(=C\COC(C)=O)CO)[C@@H]12,CHEMBL5094636,IC50,nM,29000.0,IC50,uM,29.0
C=C1C(=O)O[C@@H]2/C=C(\C)CC/C=C(\CO)C[C@@H](OC(=O)/C(C)=C/C)[C@@H]12,CHEMBL5077500,IC50,nM,25000.0,IC50,uM,25.0
C=C1C(=O)O[C@@H]2/C=C(\C)CC/C=C(\C)C[C@@H](OC(=O)/C(=C\C)CO)[C@@H]12,CHEMBL5070918,IC50,nM,29000.0,IC50,uM,29.0
C=C1C(=O)O[C@@H]2/C=C(\C)C[C@H](O)/C=C(\C)C[C@@H](OC(=O)/C(=C\C)CO)[C@@H]12,CHEMBL521162,IC50,nM,28000.0,IC50,uM,28.0
C=C1C(=O)O[C@@H]2/C=C(\C)C[C@H](O)/C=C(\C)C[C@@H](OC(=O)/C(=C\C)COC(C)=O)[C@@H]12,CHEMBL5075131,IC50,nM,25000.0,IC50,uM,25.0
C=C1C(=O)O[C@@H]2/C=C(\C)CC/C=C(\CC(=O)O)C[C@@H](OC(=O)/C(C)=C/C)[C@@H]12,CHEMBL5079023,IC50,nM,28000.0,IC50,uM,28.0
C=C1C(=O)O[C@@H]2/C=C(\C)CC/C=C(\C)C[C@@H](OC(=O)/C(=C/C)CO)[C@@H]12,CHEMBL5083965,IC50,nM,29000.0,IC50,uM,29.0
C=C1C(=O)O[C@@H]2/C=C(\C)CC/C=C(\C)C[C@@H](OC(=O)/C(=C/C)COC(C)=O)[C@@H]12,CHEMBL5088957,IC50,nM,25000.0,IC50,uM,25.0
C=C1C(=O)O[C@@H]2/C=C(\C)CC/C=C(\C)C[C@@H](OC(=O)/C(=C/CO)CO)[C@@H]12,CHEMBL490011,IC50,nM,28000.0,IC50,uM,28.0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL50,IC50,nM,10800.0,IC50,uM,10.8
CC(C)=CCc1cc(C[C@@]2(C(=O)O)OC(=O)C(OC(C)(C)[C@@H](O)Cc3cc(C[C@@]4(C(=O)O)OC(=O)C(O)=C4c4ccc(O)cc4)ccc3O)=C2c2ccc(O)cc2)ccc1O,CHEMBL5201393,IC50,nM,10500.0,IC50,uM,10.5
COc1cc2c(c(O)c1CO)C(=O)OC[C@@H]2O,CHEMBL5172902,IC50,nM,1410000.0,IC50,mM,1.41
COc1ccc(C(=O)Nc2cccc(C(=O)/C=C3/Nc4ccccc4NC3=O)c2)cc1,CHEMBL5196850,IC50,nM,166090.0,IC50,uM,166.09
O=C(/C=C/c1ccccc1)/C=C1/Nc2ccccc2NC1=O,CHEMBL5201575,IC50,nM,40090.0,IC50,uM,40.09
COc1ccc(C2SCC(=O)N2c2ccc3nc(Cc4ccc(O)cc4)c(=O)[nH]c3c2)cc1,CHEMBL4571630,IC50,nM,276270.0,IC50,uM,276.27
CC(C)c1nc2ccc(N3C(=O)CSC3c3ccc([N+](=O)[O-])cc3)cc2[nH]c1=O,CHEMBL5187552,IC50,nM,301150.0,IC50,uM,301.15
O=c1[nH]c2ccccc2nc1N/N=C/c1cccs1,CHEMBL5203236,IC50,nM,9990.0,IC50,uM,9.99
COc1cccc(/C=N/Nc2nc3ccccc3[nH]c2=O)c1,CHEMBL5194852,IC50,nM,13930.0,IC50,uM,13.93
O=c1[nH]c2ccccc2n2c(-c3ccc([N+](=O)[O-])cc3[N+](=O)[O-])ccc12,CHEMBL5207115,IC50,nM,22990.0,IC50,uM,22.99
O=c1[nH]c2ccccc2n2c(-c3ccc(O)cc3O)ccc12,CHEMBL5200953,IC50,nM,12910.0,IC50,uM,12.91
O=c1[nH]c2ccccc2n2c(-c3ccc(Cl)c(Cl)c3)ccc12,CHEMBL5179709,IC50,nM,12980.0,IC50,uM,12.98
Cc1ccc(NC(=O)Cn2c(=O)c(C)nc3ccccc32)c([N+](=O)[O-])c1,CHEMBL5173825,IC50,nM,83780.0,IC50,uM,83.78
C=CCc1cc(-c2cc(CC=C)c3oc(SCc4nnc(-c5ccccc5Br)o4)nc3c2)c2oc(SCc3nnc(-c4ccccc4Br)o3)nc2c1,CHEMBL5209522,IC50,nM,25800.0,IC50,uM,25.8
C=CCc1cc(-c2cc(CC=C)c3oc(SCc4nnc(-c5ccccc5C)o4)nc3c2)c2oc(SCc3nnc(-c4ccccc4C)o3)nc2c1,CHEMBL5178321,IC50,nM,25000.0,IC50,uM,25.0
C=CCc1cc(-c2cc(CC=C)c3oc(SCc4nnc(-c5cccc(C)c5)o4)nc3c2)c2oc(SCc3nnc(-c4cccc(C)c4)o3)nc2c1,CHEMBL5202537,IC50,nM,18900.0,IC50,uM,18.9
C=CCc1cc(-c2cc(CC=C)c3oc(SCc4nnc(-c5cccc(OC)c5)o4)nc3c2)c2oc(SCc3nnc(-c4cccc(OC)c4)o3)nc2c1,CHEMBL5186121,IC50,nM,24500.0,IC50,uM,24.5
C=CCc1cc(CSc2nnc(-c3cccc(OC)c3)o2)c(O)c(-c2ccc(O)c(CC=C)c2)c1,CHEMBL5195148,IC50,nM,52900.0,IC50,uM,52.9
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL404271,IC50,nM,24400.0,IC50,uM,24.4
C=CCc1cc(-c2cc(CC=C)c3oc(SCc4nnc(-c5cccc(C)c5)o4)nc3c2)c2oc(SCc3nnc(-c4cccc(C)c4)o3)nc2c1,CHEMBL5202537,Ki,nM,20800.0,Ki,uM,20.8
OC[C@H]1NC[C@@H](O)[C@@H]1O,CHEMBL80254,IC50,nM,56000.0,IC50,uM,56.0
OC[C@@H]1NC[C@@H](O)[C@@H]1O,CHEMBL3751947,IC50,nM,2700.0,IC50,uM,2.7
Cc1cc(O)c2c(c1)-c1c(-c3ccc(O)cc3)c(=O)oc3c1c-2c(O)c1cccc(O)c13,CHEMBL5175772,IC50,nM,890.0,IC50,uM,0.89
Cc1cc(O)c2c(c1)-c1c(-c3c[nH]c4ccccc34)c(=O)oc3c1c-2c(O)c1cccc(O)c13,CHEMBL5194087,IC50,nM,1580.0,IC50,uM,1.58
CC/C=C\C/C=C\CCC(=O)O[C@@]12[C@H](OC(=O)[C@@H](C)CC)[C@@H](C)[C@@]3(O)[C@@H](C(=O)C(CO)=C[C@]4(O)C(=O)C(C)=C[C@@H]34)[C@@H]1C2(C)C,CHEMBL5175917,IC50,nM,15300.0,IC50,uM,15.3
CC(C)=CCc1c(O)ccc2c1O/C(=C\c1ccc(O)cc1)C2=O,CHEMBL5289805,IC50,nM,73800.0,IC50,uM,73.8
CC(C)(O)[C@H]1Cc2ccc3c(c2C1)O/C(=C\c1ccc(O)c(O)c1)C3=O,CHEMBL5274141,IC50,nM,62100.0,IC50,uM,62.1
COc1ccc(CNC(=O)c2c(NC(=O)c3cccnc3)sc3c2CCC3)cc1,CHEMBL5281437,IC50,nM,87600.0,IC50,uM,87.6
O=C(Nc1sc2c(c1C(=O)NCc1ccccc1)CCC2)c1cccnc1,CHEMBL5267745,IC50,nM,82500.0,IC50,uM,82.5
COc1cc(CNC(=O)c2c(NC(=O)c3cccnc3)sc3c2CCC3)ccc1O,CHEMBL5283691,IC50,nM,93600.0,IC50,uM,93.6
COc1ccc(CNC(=O)c2c(NC(=O)c3cccnc3)sc3c2CCCC3)cc1,CHEMBL5286422,IC50,nM,30200.0,IC50,uM,30.2
O=C(Nc1sc2c(c1C(=O)NCc1ccccc1)CCCC2)c1cccnc1,CHEMBL5270418,IC50,nM,45300.0,IC50,uM,45.3
O=C(Nc1sc2c(c1C(=O)NCc1ccccn1)CCCC2)c1cccnc1,CHEMBL5285158,IC50,nM,64100.0,IC50,uM,64.1
O=C(Nc1sc2c(c1C(=O)NCc1cccnc1)CCCC2)c1cccnc1,CHEMBL5271561,IC50,nM,507000.0,IC50,uM,507.0
COc1cc(CNC(=O)c2c(NC(=O)c3cccnc3)sc3c2CCCC3)ccc1O,CHEMBL5273222,IC50,nM,9900.0,IC50,uM,9.9
COC(=O)c1ccc(CNC(=O)c2c(NC(=O)c3cccnc3)sc3c2CCCC3)cc1,CHEMBL5283357,IC50,nM,87800.0,IC50,uM,87.8
O=C(Nc1sc2c(c1C(=O)NCc1ccccc1)CCCCC2)c1cccnc1,CHEMBL5268974,IC50,nM,63400.0,IC50,uM,63.4
COc1cc(CNC(=O)c2c(NC(=O)c3cccnc3)sc3c2CCCCC3)ccc1O,CHEMBL5269761,IC50,nM,35400.0,IC50,uM,35.4
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL404271,IC50,nM,258500.0,IC50,uM,258.5
OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1561,IC50,nM,154300.0,IC50,uM,154.3
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL404271,IC50,nM,40730.0,IC50,uM,40.73
C=CCc1cc(-c2ccc(O)c(CC=C)c2)c(O)c(C(c2ccc(OC)cc2)N2CCCCC2)c1,CHEMBL5270854,IC50,nM,30450.0,IC50,uM,30.45
C=CCc1cc(-c2ccc(O)c(CC=C)c2)c(O)c(C(c2cc(Cl)cc(Cl)c2)N2CCCCC2)c1,CHEMBL5280017,IC50,nM,23510.0,IC50,uM,23.51
C=CCc1cc(-c2ccc(O)c(CC=C)c2)c(O)c(C(c2cc(Cl)cc(Cl)c2)N2CCC(C)CC2)c1,CHEMBL5286499,IC50,nM,14940.0,IC50,uM,14.94
C=CCc1cc(-c2ccc(O)c(CC=C)c2)c(O)c(C(c2cc(Cl)cc(Cl)c2)N2CCOCC2)c1,CHEMBL5273816,IC50,nM,13780.0,IC50,uM,13.78
C=CCc1cc(-c2cc(CC=C)c(O)c(C(c3ccc(Cl)cc3)N3CCOCC3)c2)c(O)c(C(c2ccc(Cl)cc2)N2CCOCC2)c1,CHEMBL5269617,IC50,nM,18580.0,IC50,uM,18.58
C=CCc1cc(-c2ccc(O)c(CC=C)c2)c(O)c(C(c2cc(Cl)cc(Cl)c2)N2CCC(C)CC2)c1,CHEMBL5286499,Ki,nM,1700.0,Ki,uM,1.7
C=CCc1cc(-c2ccc(O)c(CC=C)c2)c(O)c(C(c2cc(Cl)cc(Cl)c2)N2CCOCC2)c1,CHEMBL5273816,Ki,nM,3270.0,Ki,uM,3.27
CC(C)=CCC/C(C)=C/Cc1c(O)cc(O)c(C(=O)/C=C/c2ccc(O)cc2)c1O,CHEMBL480722,IC50,nM,1080.0,IC50,uM,1.08
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL404271,IC50,nM,39600.0,IC50,uM,39.6
O=c1c2cc(O)c(O)cc2oc2cc(O)c([C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)c(O)c12,CHEMBL4856778,IC50,nM,13000.0,IC50,uM,13.0
COc1cc(O)c2c(=O)c3c(OC)c(OC)ccc3oc2c1OC,CHEMBL3093492,IC50,nM,65800.0,IC50,uM,65.8
COc1ccc2oc3cc(O)cc(O)c3c(=O)c2c1O,CHEMBL5282121,IC50,nM,71200.0,IC50,uM,71.2
COc1cc(O)c2c(=O)c3cc(O)ccc3oc2c1,CHEMBL3093478,IC50,nM,31800.0,IC50,uM,31.8
O=c1c2cc(O)ccc2oc2cc(O)cc(O)c12,CHEMBL361025,IC50,nM,31800.0,IC50,uM,31.8
COc1ccc2oc3cc(O)cc(O)c3c(=O)c2c1OC,CHEMBL5287329,IC50,nM,18000.0,IC50,uM,18.0
COc1cc(O)c2c(=O)c3c(O)ccc(O)c3oc2c1OC,CHEMBL5280310,IC50,nM,82200.0,IC50,uM,82.2
COc1cc(O)c2c(=O)c3c(OC)ccc(OC)c3oc2c1OC,CHEMBL5276460,IC50,nM,40100.0,IC50,uM,40.1
COc1cc(O)c2c(=O)c3c(OC)ccc(OC)c3oc2c1,CHEMBL5290214,IC50,nM,75800.0,IC50,uM,75.8
O=c1c2c(O)cc(O)cc2oc2ccc(O)c(O)c12,CHEMBL187043,IC50,nM,7090.0,IC50,uM,7.09
COc1cc(O[C@H]2O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]2O)c2c(=O)c3ccc(O)c(OC)c3oc2c1,CHEMBL5287286,IC50,nM,84500.0,IC50,uM,84.5
COc1cc(O)c2c(=O)c3c(O)c(C4O[C@@H](O)[C@H](O)[C@H](O[C@@H]5O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]5O)[C@@H]4O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)ccc3oc2c1,CHEMBL5289610,IC50,nM,500000.0,IC50,uM,500.0
O=c1c2c(O[C@H]3O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]3O)cc(O)cc2oc2ccc(O)c(O)c12,CHEMBL5280602,IC50,nM,133700.0,IC50,uM,133.7
