canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
CCCCNC1C=C(CO)C(O)C(O)C1O,CHEMBL367666,IC50,nM,100000.0,IC50,M,0.0001
CCCCCCCCCCCCCCCCCCNC1C=C(CO)C(O)C(O)C1O,CHEMBL426933,IC50,nM,100000.0,IC50,M,0.0001
OC1C(O)C(O)C2OC2C1O,CHEMBL174067,IC50,nM,100000.0,IC50,M,0.0001
CCCCCCCCCCCCCCNC1C=C(CO)C(O)C(O)C1O,CHEMBL170431,IC50,nM,,IC50,M,
C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12.C[C@]12CC[C@H]3[C@@H](CCC4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,CHEMBL1744444,IC50,nM,100000.0,IC50,M,0.0001
CCCCCCNC1C=C(CO)C(O)C(O)C1O,CHEMBL354193,IC50,nM,50000.0,IC50,M,0.00005
OC[C@@]1(O)C[C@H](NC[C@H](O)c2ccccc2)[C@H](O)[C@H](O)[C@H]1O,CHEMBL2374254,IC50,nM,5.8,IC50,M,5.8E-9
CO[C@H]1O[C@H](C)[C@@H](N[C@H]2C=C(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,CHEMBL2051980,IC50,nM,3200.0,IC50,M,0.0000032
C[C@H]1C[C@H](N)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL2051761,IC50,nM,28.0,IC50,M,2.8E-8
C[C@H]1C[C@@H](O)[C@H](O)[C@@H](O)[C@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL2051982,IC50,nM,70.0,IC50,M,7E-8
OC[C@@H](N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,CHEMBL2374252,IC50,nM,34000.0,IC50,M,0.000034
OC[C@@]1(O)C[C@H](NCC2CCCCC2)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL3349433,IC50,nM,240.0,IC50,M,2.4E-7
N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL1230806,IC50,nM,340000.0,IC50,M,0.00034
OC[C@@]1(O)C[C@H](N[C@@H]2CCCC[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL3349432,IC50,nM,6.1,IC50,M,6.1E-9
OCN(CO)[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL3349431,IC50,nM,15.0,IC50,M,1.5E-8
OC[C@@]1(O)C[C@H](N[C@H]2CCCC[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL3349439,IC50,nM,1600.0,IC50,M,0.0000016
OC[C@@]1(O)C[C@H](NCc2ccc(Br)cc2)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL3349435,IC50,nM,230.0,IC50,M,2.3E-7
CO[C@H]1O[C@H](C)[C@@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,CHEMBL2051983,IC50,nM,4.9,IC50,M,4.9E-9
OCC(CO)N[C@H]1C[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL3349440,IC50,nM,550.0,IC50,M,5.5E-7
N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL222396,IC50,nM,2200.0,IC50,M,0.0000022
C[C@H]1C[C@H](O)[C@H](O)[C@@H](O)[C@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL2051762,IC50,nM,68.0,IC50,M,6.8E-8
N[C@H]1C[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL1628264,IC50,nM,110000.0,IC50,M,0.00011
OCC1=C[C@H](NC(CO)CO)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL3349436,IC50,nM,5900.0,IC50,M,0.0000059
C[C@H]1C[C@H](N)[C@H](O)[C@@H](O)[C@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL2051978,IC50,nM,1500.0,IC50,M,0.0000015
CO[C@H]1O[C@H](CO)[C@@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,CHEMBL2051981,IC50,nM,72.0,IC50,M,7.2E-8
OC[C@@]1(O)C[C@H](NCc2cccs2)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL3349441,IC50,nM,200.0,IC50,M,2E-7
OC[C@@]1(O)C[C@H](NC[C@@H](O)c2ccccc2)[C@H](O)[C@H](O)[C@H]1O,CHEMBL2374255,IC50,nM,5000.0,IC50,M,0.000005
CO[C@H]1O[C@H](CO)[C@@H](N[C@H]2C=C(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,CHEMBL2051763,IC50,nM,7200.0,IC50,M,0.0000072
CC(C)=CCC/C(C)=C/CN[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL3349438,IC50,nM,520.0,IC50,M,5.2E-7
CO[C@H]1O[C@H](C)[C@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,CHEMBL2051760,IC50,nM,650.0,IC50,M,6.5E-7
OC[C@@]1(O)C[C@H](NC/C=C/c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL3349443,IC50,nM,270.0,IC50,M,2.7E-7
CO[C@H]1O[C@H](CO)[C@H](N[C@H]2C=C(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,CHEMBL2051979,IC50,nM,80000.0,IC50,M,0.00008
OC[C@H](N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,CHEMBL2374253,IC50,nM,13.0,IC50,M,1.3E-8
OC[C@@]1(O)C[C@H](NCc2cccnc2)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL3349446,IC50,nM,330.0,IC50,M,3.3E-7
OC[C@@]1(O)C[C@H](NCCc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL3349437,IC50,nM,100.0,IC50,M,1E-7
OC[C@@]1(O)C[C@H](NC2CCCCC2)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL3349434,IC50,nM,410.0,IC50,M,4.1E-7
CC(C)(C)c1cc(CN[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)cc(C(C)(C)C)c1O,CHEMBL3349442,IC50,nM,43.0,IC50,M,4.3E-8
CO[C@H]1O[C@H](C)[C@H](N[C@H]2C=C(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,CHEMBL2051764,IC50,nM,100000.0,IC50,M,0.0001
CO[C@H]1O[C@H](CO)[C@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,CHEMBL2051759,IC50,nM,100.0,IC50,M,1E-7
OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL307429,IC50,nM,40.0,IC50,uM,0.04
C=C1CC[C@@H]2[C@]3(C)COC(c4ccccc4)O[C@@H]3CC[C@@]2(C)[C@@H]1C/C=C1/C(=O)OC[C@H]1O,CHEMBL380336,IC50,nM,101000.0,IC50,uM,101.0
C[C@]1(CO)[C@H]2CC[C@@]3(CO3)[C@@H](/C=C/C3=C/C(=C/C=C/c4ccccc4)OC3=O)[C@]2(C)CC[C@H]1O,CHEMBL205969,IC50,nM,101000.0,IC50,uM,101.0
COc1ccc(/C=C2/C=C(/C=C/[C@@H]3[C@@]4(CC[C@@H]5[C@](C)(CO)[C@H](O)CC[C@]53C)CO4)C(=O)O2)cc1,CHEMBL205155,IC50,nM,120000.0,IC50,uM,120.0
C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=C/C(=C/C=C/c2ccccc2)OC1=O,CHEMBL209093,IC50,nM,58000.0,IC50,uM,58.0
C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=C/C(=C/c2ccc(OC)cc2)OC1=O,CHEMBL377520,IC50,nM,16000.0,IC50,uM,16.0
C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=C/C(=C/CCC)OC1=O,CHEMBL206309,IC50,nM,110000.0,IC50,uM,110.0
C=C1CC[C@@H]2[C@]3(C)COC(c4cccc(Br)c4)O[C@@H]3CC[C@@]2(C)[C@@H]1C/C=C1/C(=O)OC[C@H]1O,CHEMBL379280,IC50,nM,100000.0,IC50,uM,100.0
C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=C/C(=C/c2ccco2)OC1=O,CHEMBL241374,IC50,nM,100000.0,IC50,uM,100.0
C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=C/C(=C/c2cc(OC)c(OC)cc2OC)OC1=O,CHEMBL238604,IC50,nM,84000.0,IC50,uM,84.0
C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=C/C(=C/c2ccc3c(c2)OCO3)OC1=O,CHEMBL398800,IC50,nM,82000.0,IC50,uM,82.0
C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=C/C(=C/c2ccc(OC)cc2)OC1=O,CHEMBL377520,IC50,nM,16000.0,IC50,uM,16.0
C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=C/C(=C/c2ccc(N(C)C)cc2)OC1=O,CHEMBL241165,IC50,nM,70000.0,IC50,uM,70.0
C=C1CC[C@@H]2[C@](C)(COC(=O)c3cccnc3)[C@H](OC(=O)c3cccnc3)CC[C@@]2(C)[C@@H]1/C=C/C1=C/C(=C\c2ccc(OC)cc2)OC1=O,CHEMBL394049,IC50,nM,11000.0,IC50,uM,11.0
C=C1CC[C@@H]2[C@](C)(COC(=O)c3cccnc3)[C@H](OC(=O)c3cccnc3)CC[C@@]2(C)[C@@H]1/C=C/C1=C/C(=C/c2ccco2)OC1=O,CHEMBL240080,IC50,nM,36000.0,IC50,uM,36.0
C=C1CC[C@@H]2[C@](C)(COC(=O)c3cccnc3)[C@H](OC(=O)c3cccnc3)CC[C@@]2(C)[C@@H]1/C=C/C1=C/C(=C\c2ccc(N(C)C)cc2)OC1=O,CHEMBL437564,IC50,nM,25000.0,IC50,uM,25.0
C=C1CC[C@@H]2[C@](C)(COC(=O)c3cccnc3)[C@H](OC(=O)c3cccnc3)CC[C@@]2(C)[C@@H]1/C=C/C1=C/C(=C\c2cccc(Br)c2)OC1=O,CHEMBL396679,IC50,nM,14000.0,IC50,uM,14.0
C=C1CC[C@@H]2[C@](C)(COC(=O)c3cccnc3)[C@H](OC(=O)c3cccnc3)CC[C@@]2(C)[C@@H]1/C=C/C1=C/C(=C\c2ccc(Cl)cc2)OC1=O,CHEMBL394682,IC50,nM,6000.0,IC50,uM,6.0
C=C1CC[C@@H]2[C@](C)(COC(=O)c3cccnc3)[C@H](OC(=O)c3cccnc3)CC[C@@]2(C)[C@@H]1/C=C/C1=C/C(=C\c2ccccc2)OC1=O,CHEMBL396678,IC50,nM,16000.0,IC50,uM,16.0
C=C1CC[C@@H]2[C@](C)(COC(=O)c3cccnc3)[C@H](OC(=O)c3cccnc3)CC[C@@]2(C)[C@@H]1/C=C/C1=C/C(=C\C(C)=C\CCC/C=C/C)OC1=O,CHEMBL396677,IC50,nM,28000.0,IC50,uM,28.0
